stats (11)
last_name, first_name,player_id,year,player_age,p_game,p_formatted_ip,p_strikeout,p_k_percent,p_era,pitch_hand,n,n_ff_formatted,ff_avg_speed,ff_avg_spin,ff_avg_break_x,ff_avg_break_z,ff_avg_break,ff_range_speed,n_sl_formatted,sl_avg_speed,sl_avg_spin,sl_avg_break_x,sl_avg_break_z,sl_avg_break,sl_range_speed,n_ch_formatted,ch_avg_speed,ch_avg_spin,ch_avg_break_x,ch_avg_break_z,ch_avg_break,ch_range_speed,n_cukc_formatted,cu_avg_speed,cu_avg_spin,cu_avg_break_x,cu_avg_break_z,cu_avg_break,cu_range_speed,n_sift_formatted,si_avg_speed,si_avg_spin,si_avg_break_x,si_avg_break_z,si_avg_break,si_range_speed,n_fc_formatted,fc_avg_speed,fc_avg_spin,fc_avg_break_x,fc_avg_break_z,fc_avg_break,fc_range_speed,n_fs_formatted,fs_avg_speed,fs_avg_spin,fs_avg_break_x,fs_avg_break_z,fs_avg_break,fs_range_speed,n_kn_formatted,kn_avg_speed,kn_avg_spin,kn_avg_break_x,kn_avg_break_z,kn_avg_break,kn_range_speed,
Anderson, Tyler,542881,2019,30,5,20.2,23,21.7,11.76,L,428,46.5,91.2,2333,8.4,-15.6,19.6,1.6,,,,,,,,25.9,79.9,2050,11.2,-29.8,17.6,1.6,6.5,73.4,2377,-1.5,-62.1,9.8,1.6,1.6,91.4,2268,14.2,-20.3,19.1,1.6,19.4,87,2548,-1.4,-24.8,11.8,1.6,,,,,,,,,,,,,,,
Andriese, Matt,542882,2019,30,54,70.2,79,25.5,4.71,R,1204,49.6,92.5,2337,-7.1,-16.1,18.2,1.2,1.1,85,2460,2.6,-40.8,3.6,1.4,37,86,2223,-4.6,-37.2,5.2,1.2,11.5,80.9,2671,5.2,-55.7,13.2,1.4,0.7,92.3,2180,-13.3,-25.6,15,1.4,,,,,,,,,,,,,,,,,,,,,,
Armstrong, Shawn,542888,2019,29,55,58.0,63,23.2,5.74,R,1132,59.7,93.4,2521,-5.6,-14.3,17.9,1.2,12.5,83,2863,13.1,-42.6,13.6,1.6,,,,,,,,,,,,,,,,,,,,,,27.8,89.9,2597,5.2,-24.7,11.1,1.8,,,,,,,,,,,,,,,
Bass, Anthony,542914,2019,32,44,48.0,43,22.8,3.56,R,714,4.5,95.3,2057,-6.6,-13.8,17.9,1.4,33.2,87.3,2294,5.4,-35.4,5.9,1.6,,,,,,,,,,,,,,,48.2,95.3,2047,-13.6,-17,19.1,1.1,,,,,,,,14.1,86.6,1229,-6.5,-28.1,11.7,1.2,,,,,,,,
Bleier, Richard,542947,2019,32,53,55.1,30,12.8,5.37,L,760,0.4,85.8,1909,3.9,-32.8,6.3,1.5,6.3,79.7,1970,-3,-46.1,4.1,1.6,4.7,81.4,1590,15.3,-36.9,16.3,1.4,,,,,,,,64.1,89,1943,13.6,-30.6,14.4,1.2,24.5,87.5,1949,0.8,-29.3,7,1.7,,,,,,,,,,,,,,,
Boshers, Buddy,542953,2019,31,28,20.0,26,28.6,4.05,L,384,,,,,,,,,,,,,,,6.8,84.4,1579,13.3,-33.1,15.1,1.4,53.6,80.4,2632,-4.1,-55.6,11.9,1.1,39.6,92.6,2094,11,-18.3,18.6,1.1,,,,,,,,,,,,,,,,,,,,,,
Brach, Brad,542960,2019,33,58,54.1,60,24.8,5.47,R,997,47.6,94.1,2210,-7.5,-17.6,15.9,1.3,19.4,85.4,2509,6.2,-37.6,7.1,1.9,18.9,86.6,1871,-14.6,-37.3,14.8,1.3,,,,,,,,6.2,92.5,2117,-14.4,-23.2,17.6,1.3,7.9,91,2390,2.6,-25.5,9.1,1.2,,,,,,,,,,,,,,,
Carpenter, Ryan,543001,2019,29,9,40.2,25,12.7,9.30,L,685,22.8,90,2178,10,-19.8,17.5,1.3,28.3,81.5,2689,-5.6,-42.4,6,1.2,14.6,83.3,1864,15.8,-33.9,16.9,1.2,12,76.1,2769,-12.9,-63.5,19.4,1.6,22.3,89.8,2103,15.7,-25.6,18.1,1.3,,,,,,,,,,,,,,,,,,,,,,
Chatwood, Tyler,543022,2019,30,38,76.2,74,22.8,3.76,R,1285,31.7,96.1,2479,-5.1,-14.1,16.7,1.3,,,,,,,,7.3,87.7,1789,-11.2,-25.7,15.2,1.5,11.4,81.4,3092,9.3,-56.6,16.8,1.8,39.5,95.7,2516,-14.3,-17,19.5,1.3,10.2,90.2,2760,2.9,-29.9,6.8,1.7,,,,,,,,,,,,,,,
Cole, Gerrit,543037,2019,29,33,212.1,326,39.9,2.50,R,3360,51.6,97.1,2530,-11.4,-10.9,21.7,1.6,23.2,89.2,2622,4.9,-31.8,6.4,1.5,7.4,88.6,1870,-15.3,-22.9,19.5,1.5,15.4,82.6,2901,11.7,-55.6,18.4,1.9,2.4,97.1,2508,-15.1,-13.8,21.7,1.4,,,,,,,,,,,,,,,,,,,,,,
Conley, Adam,543045,2019,29,60,60.2,53,18.7,6.53,L,1019,61.8,95.3,2330,13.6,-16.5,19.7,1.4,13.6,86.1,2113,-2,-35.8,4,1.9,16.9,86.5,2036,16.3,-27.6,18.9,1.5,7.7,82.9,2209,-4.2,-44,5.9,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DeSclafani, Anthony,543101,2019,29,31,166.2,167,24.0,3.89,R,2587,37.2,94.7,2249,-9.6,-14.3,18.9,1.1,24.3,89.4,2315,3.7,-27.4,8.4,1.9,5.4,88.5,1535,-13.7,-28.2,15.2,1.3,15.1,83.3,2048,4.8,-45.2,7.5,2,18.1,94.5,2086,-15,-19.5,18.7,1.1,,,,,,,,,,,,,,,,,,,,,,
Drake, Oliver,543118,2019,32,50,56.0,70,32.0,3.21,R,941,40.5,93.5,2146,1.4,-12.8,18.2,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,90.2,2176,5.2,-17.4,16.5,,59.4,84,1089,-2.2,-35.3,6.1,1.3,,,,,,,,
Eovaldi, Nathan,543135,2019,29,23,67.2,70,23.2,5.99,R,1228,43.6,97.4,2184,-11.2,-14.5,18.4,1.6,3.3,84.9,2237,7.3,-38.1,8.5,1.6,,,,,,,,17.5,80.5,2173,7.7,-51.9,11.8,1.6,,,,,,,,22.3,93.1,2342,0.9,-22.1,10,1.8,13.4,87.8,1573,-9.8,-34.2,10.3,2.1,,,,,,,,
Flynn, Brian,543169,2019,29,11,29.1,22,15.8,5.22,L,507,20.7,90.7,2264,8.1,-18.2,16.7,1.2,41.8,82.5,2324,-4.1,-39.3,4.8,1.6,1.4,82.6,1671,10.6,-29.2,14.8,1.4,,,,,,,,36.1,90.4,2228,13.3,-23.1,16.7,1.5,,,,,,,,,,,,,,,,,,,,,,
Gagnon, Drew,543193,2019,29,18,23.2,17,14.5,8.37,R,401,54.4,92.1,2008,-12.8,-19.2,18.6,1.3,3.7,84.4,2330,1.1,-39.3,2.3,1.5,32.2,82.1,1934,-15.7,-31.8,18.2,1.1,9.7,79.1,2515,8.6,-54.6,13.4,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gaviglio, Sam,543208,2019,29,52,95.2,88,22.4,4.61,R,1427,,,,,,,,44.3,84.3,2140,0.7,-34.6,5.1,1.3,9.7,82.5,1232,-12.7,-37.1,13.7,1.6,3.6,79.8,2128,5.2,-47,6.6,1.4,42.4,89.2,2092,-13.5,-26,16,1.2,,,,,,,,,,,,,,,,,,,,,,
Gray, Sonny,543243,2019,30,31,175.1,205,29.0,2.87,R,2807,28.6,93.3,2527,-1.9,-16.1,15.2,1.2,21.1,84.7,2868,15.9,-43,16.7,1.3,4.7,89.7,2047,-12.7,-24.1,16.3,1.3,25.4,81.9,2988,15.7,-53.9,19.9,1.7,19.6,93.1,2441,-11.7,-21.3,15.5,1.2,0.5,89.3,2570,3.1,-25,10.1,1.9,,,,,,,,,,,,,,,
Hand, Brad,543272,2019,29,60,57.1,84,34.7,3.30,L,946,42.4,92.7,2420,11.4,-17.4,19.8,1.5,54.1,81.2,2474,-15.8,-45.6,16.1,1.4,,,,,,,,,,,,,,,3.5,91.9,2303,16.6,-24.3,19.3,1.5,,,,,,,,,,,,,,,,,,,,,,
Hardy, Blaine,543278,2019,32,39,44.1,29,15.9,4.47,L,689,19.2,88.2,2235,8.1,-16.3,21,1.3,,,,,,,,44.8,79.2,1982,17.1,-34.1,20.2,1.1,20,76.5,1952,-6.2,-62.7,16,1.3,1.9,88.8,2173,14.5,-20.3,20.8,1.5,14.1,86.1,2357,-1.8,-23.5,14.2,1.4,,,,,,,,,,,,,,,
Hendricks, Kyle,543294,2019,30,30,177.0,150,20.5,3.46,R,2690,20.5,87.2,2044,-6.7,-21.7,16.4,1.2,,,,,,,,28.1,78.6,2115,-13.1,-34.1,17.3,1.1,9.8,71.4,2784,15.7,-68,19.6,1.4,41.6,86.7,1959,-12.7,-26.9,16.3,1.2,,,,,,,,,,,,,,,,,,,,,,
Hudson, Daniel,543339,2019,32,69,73.0,71,23.4,2.47,R,1217,63.3,96.2,2469,-8.5,-14.5,17.8,0.9,23.3,86.7,2642,2.3,-35.2,4.3,1.8,6,88.6,2383,-17.9,-23.7,21.5,1.4,,,,,,,,7.5,95.6,2445,-16.1,-20,19.3,1,,,,,,,,,,,,,,,,,,,,,,
Jackson, Jay,543351,2019,32,28,30.1,47,35.6,4.45,R,532,41.7,94.4,2383,-11.7,-15.8,19.5,1.3,55.3,85.9,2444,4.8,-36.4,5.8,1.3,3,87.2,1885,-10.6,-24.1,16.2,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lyles, Jordan,543475,2019,29,28,141.0,146,24.4,4.15,R,2377,50.2,92.6,2162,-6.9,-14.9,17.9,1.2,9.7,87.5,2333,4.4,-29.9,7.4,1.3,7,85.6,1549,-13.7,-29.8,15.5,1.8,31.3,80.6,2491,5.8,-56.8,15.8,1.6,1.7,91.7,2135,-14.7,-19.3,19.6,1.3,,,,,,,,,,,,,,,,,,,,,,
Magill, Matt,543483,2019,30,50,50.2,64,27.9,4.09,R,885,51,95.2,2334,-7.6,-13.1,18.5,1.2,18.8,88.4,2501,4.5,-32.4,5.7,1.7,0.1,89.7,2361,-10.6,-16.3,20.7,,30.1,85.9,2550,3.4,-43.8,7.6,1.5,,,,,,,,0.1,94.6,2388,3.2,-8.4,21.9,,,,,,,,,,,,,,,,
May, Trevor,543507,2019,30,65,64.1,79,29.7,2.94,R,1166,61.6,95.5,2347,-5.2,-13.8,16.3,1.3,14.5,83.9,2556,5.9,-43.2,7.8,1.5,10,87.6,1988,-11.3,-21.7,17.5,1.3,12.6,78.9,2527,10.2,-56.1,15.9,1.5,1.3,96.7,2345,-9.6,-15.3,16.3,1.3,,,,,,,,,,,,,,,,,,,,,,
McHugh, Collin,543521,2019,32,35,74.2,82,25.9,4.70,R,1294,32.4,90.8,2317,-10.3,-17.3,19.1,1.4,43.4,79.5,2825,16.9,-44,17.2,1.7,3.2,83.8,1625,-14.2,-31.2,16.9,1.7,8,74.5,2797,13.7,-62.9,18.4,1.8,0.8,88.3,2322,-15.5,-25.2,18.6,1.4,12.2,87,2560,2.2,-28.8,8,1.4,,,,,,,,,,,,,,,
Melville, Tim,543532,2019,30,7,33.1,24,16.8,4.86,R,563,33.4,89.2,2006,-8.6,-19.4,17.3,1.4,54.7,83.1,2286,1.6,-37.3,3.5,1.9,6,82.5,2230,-13.2,-25.8,19.6,1.7,5.9,75.4,2358,3.3,-56.4,8.2,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Milone, Tommy,543548,2019,32,23,111.2,94,20.8,4.76,L,1670,43.7,87.1,2192,8.1,-18.1,20.5,1,10.3,79.1,2328,-4.6,-41.9,6.3,1.4,38.1,79.4,1745,15.4,-35.8,17.7,1,7.8,75.3,2471,-4.4,-53.1,5.7,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montgomery, Mike,543557,2019,30,33,91.0,69,17.2,4.95,L,1575,13.8,91.6,1978,6.3,-20.3,14,1.1,,,,,,,,21.2,84.3,1787,14.7,-31.5,16.5,1.3,21.2,77.7,2281,-6.7,-54.2,11,1.5,26.8,92.3,1888,13.4,-21.9,17,1.2,17,87.7,2050,-1.7,-28.9,7.5,1.8,,,,,,,,,,,,,,,
Odorizzi, Jake,543606,2019,29,30,159.0,178,27.1,3.51,R,2786,57.9,92.9,2236,-10.6,-15.5,20,1.1,,,,,,,,,,,,,,,6.5,75.4,2253,9,-61.9,14.9,1.4,,,,,,,,18.4,85.4,2161,5.7,-31.1,9.4,2.1,17.1,85.2,1489,-11.5,-32.4,13.2,1.3,,,,,,,,
Roark, Tanner,543699,2019,33,31,165.1,158,21.9,4.35,R,2884,25.5,92.1,2145,-5.2,-15.3,18.4,1.4,21.8,86.3,2255,2.9,-31.2,7.4,1.9,9.8,84.1,1701,-13.3,-28.9,17.3,1.2,12.8,75.7,2746,12.2,-64.4,19.2,1.3,30,91.9,2087,-13.3,-18.7,19.6,1.3,,,,,,,,,,,,,,,,,,,,,,
Shaw, Bryan,543766,2019,32,70,72.0,58,18.6,5.38,R,1188,,,,,,,,9.3,83.1,2721,12.3,-45.4,13.2,1.7,7.5,84,1549,-6.3,-33.1,9.2,1.7,7.7,80.8,2593,7.9,-55.2,13.7,1.8,,,,,,,,75.4,92.5,2396,4.4,-26.4,8.1,1.6,,,,,,,,,,,,,,,
Vincent, Nick,543883,2019,33,32,44.2,47,24.2,4.43,R,747,58.8,88.9,2351,-4.3,-18.8,17.2,1,0.8,83.5,2560,5.1,-40.7,5.6,1.4,3.6,83.7,1849,-16.6,-32.1,18.3,1.4,,,,,,,,4.7,89.4,2166,-13.8,-23.5,18,1.3,32.1,86.9,2417,2.9,-26,11.6,1.2,,,,,,,,,,,,,,,
Weber, Ryan,543901,2019,29,18,40.2,29,16.0,5.09,R,674,3,88.4,2122,-16.8,-27.2,19.3,1.4,1.2,86.3,2246,-3,-33.9,5.8,1.7,16.6,81.6,1816,-15.6,-39.7,16,1.4,29.5,77.6,2415,18.2,-56.9,20.5,1.7,49.7,89.4,2092,-19.3,-34.5,19.4,1.2,,,,,,,,,,,,,,,,,,,,,,
Banuelos, Manny,544365,2019,28,16,50.2,44,18.7,6.93,L,947,22.1,92,2131,11.5,-18.9,18.3,1.1,33.5,85.3,2265,-2.1,-34.8,5,1.9,8.3,82.6,1663,15,-36,16,1.6,10.3,78.8,2602,-12.4,-48,12.9,1.8,25.8,91.4,1896,17.3,-27.1,18.5,1.3,,,,,,,,,,,,,,,,,,,,,,
Familia, Jeurys,544727,2019,30,66,60.0,63,23.0,5.70,R,1041,16.6,95.9,2211,-10.6,-17.3,17,1.4,26.5,88.1,2245,0.1,-31.5,5.1,1.4,,,,,,,,,,,,,,,49.4,95.9,2180,-17.5,-24.2,18.7,1.3,,,,,,,,7.5,92.2,1754,-14.8,-30.2,15.3,1.3,,,,,,,,
Strasburg, Stephen,544931,2019,31,33,209.0,251,29.8,3.32,R,3383,28.6,93.9,2167,-9.6,-15.7,17.7,1.3,0.4,87.8,2250,4,-29,7.5,1.5,20.7,87.7,1679,-15.5,-32.1,15.9,1.2,30.7,81.2,2773,12.9,-49.5,15.3,1.4,19.7,93.7,2129,-15.8,-20.2,19,1.2,,,,,,,,,,,,,,,,,,,,,,
Diaz, Jairo,545064,2019,28,56,57.2,63,25.7,4.53,R,888,25.1,97.2,2202,-4.5,-16,14.3,1.3,43.9,88.2,2413,1.6,-37.4,2.7,1.3,,,,,,,,,,,,,,,31,96.8,2140,-12.4,-20.8,15.5,1.4,,,,,,,,,,,,,,,,,,,,,,
Bauer, Trevor,545333,2019,28,34,213.0,253,27.8,4.48,R,3686,39.7,94.5,2410,-9.8,-13.8,19.6,1.4,13.9,79.6,2737,19,-46.8,19.3,1.7,7.7,86,1707,-15.3,-28.1,18.2,1.8,19.7,79.1,2548,8.3,-63.6,20.4,1.7,2.6,94.7,2343,-16.8,-19.2,20.4,1.1,16.5,84.6,2640,5.6,-40.6,6.6,1.9,,,,,,,,,,,,,,,
Lorenzen, Michael,547179,2019,27,73,83.1,85,24.8,2.92,R,1298,21.3,97.2,2538,-10.7,-13,20,1.2,9.8,87.1,2635,5.7,-35.7,6.8,1.7,19.5,87.4,2150,-15.6,-27.1,18.6,1.1,7.2,83.8,2531,2.4,-50.7,10.9,1.8,15.7,96.4,2372,-15.3,-18.1,19.8,1.4,26.5,93.8,2596,-1.4,-21.5,10.8,1.5,,,,,,,,,,,,,,,
Tanaka, Masahiro,547888,2019,31,32,182.0,149,19.6,4.45,R,2750,27.3,91.5,2143,-10.1,-17.3,19,1.4,36.4,83.3,2390,6.7,-39.7,7.5,1.6,,,,,,,,3.2,76.1,2391,9.2,-58.2,13.1,1.7,4.7,90.4,1916,-14.8,-25.5,17.3,1.3,1.6,87.5,2077,-1.6,-28.4,8.6,1.6,26.7,86.8,1589,-12.7,-31.9,14,1.4,,,,,,,,
Ryu, Hyun Jin,547943,2019,32,29,182.2,163,22.5,2.32,L,2705,27.3,90.7,2084,10.2,-19.5,16.9,1.4,0.3,80.7,2337,-4,-44.6,5.7,1.7,27.5,80,1487,12.6,-36.8,13.9,1.8,12.2,72.7,2573,-13.4,-66.1,18.8,2.3,13.3,90.1,2021,15.6,-24.7,17.9,1.6,19.4,87,2065,-1.2,-28.9,7.6,1.8,,,,,,,,,,,,,,,
Chapman, Aroldis,547973,2019,31,60,57.0,85,36.2,2.21,L,969,58.6,98,2484,3.5,-9.9,18.7,2,31.3,85.2,2489,-10.7,-36.6,11.2,2.1,0.1,88.1,1695,10.4,-23.8,14.6,,,,,,,,,10,100.2,2535,12.2,-11.5,19.8,1.5,,,,,,,,,,,,,,,,,,,,,,
Stripling, Ross,548389,2019,30,32,90.2,93,25.1,3.47,R,1444,36,90.6,2274,-3.5,-15.8,18.2,1.5,15.9,86.3,2369,4.9,-31.3,8.6,1.8,14.7,82.7,1584,-9.2,-34.9,11,1.3,28.5,79.8,2650,5.4,-58.7,15.1,1.5,1.9,88.8,2134,-11.2,-20.7,18.3,1.4,2.9,88.5,2314,1.1,-23.2,12.3,1.7,,,,,,,,,,,,,,,
Kittredge, Andrew,552640,2019,29,37,49.2,58,27.6,4.17,R,817,18.5,95.2,2351,-9.2,-12.7,19.8,1,37.3,88.3,2744,7.3,-33.8,7.7,1.3,4.5,85.8,1114,-7.4,-34.8,8.6,1.4,,,,,,,,39.7,94.8,2290,-17.6,-20,20.5,1,,,,,,,,,,,,,,,,,,,,,,
Vazquez, Felipe,553878,2019,28,56,60.0,90,38.1,1.65,L,958,59.4,98.5,2622,10,-16.5,16,1.7,16.7,86.8,2746,-11.4,-31.5,13.5,1.7,8,88.5,2021,11.3,-34.6,11.7,1.4,14.2,82.5,2784,-13.3,-48.1,14.8,1.6,1.7,97.7,2470,14.9,-24.8,15.6,1.4,,,,,,,,,,,,,,,,,,,,,,
Garcia, Yimi,554340,2019,29,64,62.1,66,26.7,3.61,R,997,44.1,94.2,2593,-7.4,-17.8,15.4,1.4,17.7,86.9,2663,3.8,-33.4,6,2.2,5.6,87.3,1946,-16.5,-33.1,16.9,1.4,30.8,83.2,2801,10.2,-42.7,10.6,1.6,1.8,93.5,2507,-13.7,-24.5,15.7,1.4,,,,,,,,,,,,,,,,,,,,,,
Wheeler, Zack,554430,2019,29,31,195.1,195,23.6,3.96,R,3158,30,96.8,2341,-10.5,-13.1,18.8,1.3,19.8,91.2,2386,2.1,-26.2,7.2,1.6,10.2,89,1771,-12.4,-24.1,16.2,1.5,10,80.7,2647,8.1,-54.1,14.2,1.6,29,96.5,2256,-13.9,-15.9,19,1.4,,,,,,,,1,88.8,1383,-12.4,-30.5,13.3,1.5,,,,,,,,
Pena, Felix,570240,2019,29,22,96.1,101,24.8,4.58,R,1570,4.5,91.2,2091,-9,-17,18.7,1.5,39.4,82.5,2498,1.7,-40.6,3.3,1.7,11.5,83.9,1675,-13.6,-28.6,17.8,1.5,,,,,,,,44.6,91.5,2099,-16.3,-22,19.9,1.4,,,,,,,,,,,,,,,,,,,,,,
Valdez, Phillips,570488,2019,28,11,16.0,18,24.0,3.94,R,293,0.7,91.7,2449,-17,-23.9,18.8,1.4,5.5,84.7,2446,3.8,-36.1,5.3,1.5,36.2,84.8,2137,-13.7,-37.8,14,1.3,,,,,,,,57.7,92.2,2456,-17.7,-31.1,17.8,1.2,,,,,,,,,,,,,,,,,,,,,,
Urena, Jose,570632,2019,28,24,84.2,62,16.8,5.21,R,1372,0.4,94.8,2044,-9.7,-16.6,17.4,1.5,19.9,85.8,2315,1.9,-30.8,7.8,1.7,10.6,90.1,1712,-16.1,-25.4,18.5,1.4,6.2,84.7,2328,4.7,-37.3,5.4,1.5,62.9,95.8,2157,-16.6,-20.7,19.3,1.3,,,,,,,,,,,,,,,,,,,,,,
Robles, Hansel,570663,2019,29,71,72.2,75,26.5,2.48,R,1141,48.9,97.2,2431,-12.8,-13,20.9,1.4,21.5,89.1,2406,0.1,-30.4,5.4,1.9,22.3,89.5,1588,-13.9,-28.7,15.5,1.7,,,,,,,,7.4,96.7,2423,-16.9,-17.7,20.8,1.5,,,,,,,,,,,,,,,,,,,,,,
Cessa, Luis,570666,2019,27,43,81.0,75,21.9,4.11,R,1304,34,94.6,2301,-9.2,-15.3,18.9,1.3,49.8,84.8,2494,1,-38.5,2.3,1.2,7.4,87.1,1645,-12.2,-28.7,15,1.5,0.8,80.7,2398,4.3,-47.7,6.5,1.5,7.8,93.8,2222,-15,-20,19.4,1.4,,,,,,,,,,,,,,,,,,,,,,
Boyd, Matthew,571510,2019,28,32,185.1,238,30.2,4.56,L,3024,49.9,92.1,2383,10.2,-17.3,18.3,1.6,36.1,79.6,2377,-4.2,-46,5.4,1.8,6,79.1,1956,11.4,-32.3,16.3,1.2,4,72.2,2247,-14.6,-61.1,16.5,1.7,3.9,90.2,2353,14.4,-23.1,18,1.8,0,90.5,2330,0.3,-12.8,21.2,,,,,,,,,,,,,,,,
Corbin, Patrick,571578,2019,30,33,202.0,238,28.5,3.25,L,3299,19.4,91.8,2283,8.8,-17.1,17.8,1.6,37.1,81.7,2398,-3.6,-42,4.3,1.9,5.7,81.8,1646,10.6,-30.5,15.1,2.3,3.5,67.8,1989,-3.6,-61.4,4.3,2.4,34.3,91.8,2195,14.7,-21.5,18.4,1.6,,,,,,,,,,,,,,,,,,,,,,
Farmer, Buck,571656,2019,28,73,67.2,73,25.3,3.72,R,1136,48.9,95,2346,-12,-14.3,20.6,1.1,24.8,82.4,2654,1.6,-38,4,1.3,26.3,88.1,1800,-15.8,-33,16.3,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiers, Mike,571666,2019,34,33,184.2,126,16.7,3.90,R,2753,32.4,90.4,2327,-9,-15.3,21,1.6,17.8,85.8,2484,3.2,-28.2,10.9,2.1,12.5,84.1,1938,-16.4,-33.2,18.1,1.5,17.5,74.1,2786,10.9,-70.7,21.2,1.7,19.8,90.2,2258,-15.6,-20.9,20.8,1.5,,,,,,,,,,,,,,,,,,,,,,
Floro, Dylan,571670,2019,29,50,46.2,42,20.9,4.24,R,728,20.5,94,2292,-10,-16,18.2,1.2,28.6,87.9,2156,1.5,-29.6,6.5,1.6,3.8,87.2,2124,-16.6,-29.5,18.1,1.3,,,,,,,,47.1,93.7,2233,-16.1,-21.3,19,1.2,,,,,,,,,,,,,,,,,,,,,,
Giles, Ken,571704,2019,29,53,53.0,83,39.9,1.87,R,810,49,96.9,2323,-9.9,-13.3,19.6,1.3,49.4,86.4,2245,-0.9,-35.1,3.8,1.3,,,,,,,,,,,,,,,1.6,97.5,2330,-13.3,-16.5,18.9,1.5,,,,,,,,,,,,,,,,,,,,,,
Givens, Mychal,571710,2019,29,58,63.0,86,33.1,4.57,R,1092,70.2,95.3,2383,-10,-17.7,16.1,1.6,15.3,87.1,2476,4.4,-31.5,7.2,1.9,14.5,84.7,2101,-13,-42.3,13.7,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hale, David,571735,2019,32,20,37.2,23,14.6,3.11,R,581,31.2,93.7,2265,-8.3,-18.7,15,1.4,,,,,,,,21.7,82.2,1718,-13.3,-31.4,16.3,1.3,18.8,82.1,2293,6.5,-40.4,7,1.5,28.4,93,2175,-14.9,-22.6,17.6,1.3,,,,,,,,,,,,,,,,,,,,,,
Heaney, Andrew,571760,2019,28,18,95.1,118,28.9,4.91,L,1688,,,,,,,,,,,,,,,15.1,84.7,1988,17.2,-30.6,19.2,1.4,27,79.4,2545,-7,-49.3,8.5,1.5,57.9,92.5,2524,14.2,-16.5,21.6,1.4,,,,,,,,,,,,,,,,,,,,,,
Kline, Branden,571858,2019,28,34,41.0,34,18.6,5.93,R,708,57.5,96.2,2174,-8.9,-13.1,18.9,1.4,34,86.6,2296,2.1,-32.8,5.4,1.8,8.5,87.6,1536,-11.6,-28.2,14.4,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Koch, Matt,571863,2019,29,9,20.2,9,9.4,9.15,R,364,48.1,92.3,2123,-11.7,-18.1,18.5,1.2,,,,,,,,16.2,85.5,1668,-13.6,-29.8,15.8,1.1,7.4,79.9,2404,6,-50.1,9,1.6,,,,,,,,28.3,88.9,2149,0.3,-27.1,8,1.4,,,,,,,,,,,,,,,
Law, Derek,571882,2019,29,58,60.2,67,23.5,4.90,R,1193,36.7,94,2132,-3.2,-15.9,15.2,1.5,30.5,84.7,2245,4.5,-41.8,6.4,2.2,12.9,85.8,2014,-14.6,-26.8,17.9,1.8,19.9,76.8,2045,3.6,-57.4,11.2,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Markel, Parker,571917,2019,29,20,22.0,24,21.8,7.77,R,460,40.4,95.6,2400,-12.1,-15.8,19.1,1,50.9,83.1,2706,10.2,-42.9,10.9,1.6,1.3,84.6,1557,-10.6,-28.5,14.9,1.4,,,,,,,,7.4,95.3,2311,-17.2,-22.1,19.2,1.2,,,,,,,,,,,,,,,,,,,,,,
Matz, Steven,571927,2019,28,32,160.1,153,22.1,4.21,L,2701,,,,,,,,14.5,89.5,2069,3.1,-29,6.5,1.3,20.1,84.3,2301,16.8,-36.1,17.1,1.3,14.8,78.5,2448,-12.3,-53,14.9,1.6,50.6,93.3,2102,15.8,-20.7,19.2,1.2,,,,,,,,,,,,,,,,,,,,,,
Mikolas, Miles,571945,2019,31,32,184.0,144,18.8,4.16,R,2804,27.6,93.7,2302,-5.9,-16.4,16,1.5,23.4,87,2327,3.7,-34,5,1.6,3.8,87.7,1667,-13.5,-29,15.8,2.4,21.4,78.3,2588,9.1,-61.4,17.7,1.4,23.8,93.4,2229,-13.8,-19.4,18.4,1.4,,,,,,,,,,,,,,,,,,,,,,
Miller, Shelby,571946,2019,29,19,44.0,30,13.6,8.59,R,862,66.7,94.3,2327,-10.3,-14.1,19.5,1.4,0.5,79.7,2328,11.4,-54.6,15.3,1.4,2.3,86.7,1870,-13.4,-27,16.4,1.6,23.9,79.4,2325,7.6,-54.8,13.1,1.2,3,94,2339,-13.4,-16.4,19.6,1.4,3.6,88.6,2188,3.2,-27.2,8.6,1.3,,,,,,,,,,,,,,,
Paxton, James,572020,2019,31,29,150.2,186,29.4,3.82,L,2663,59.9,95.4,2263,11.4,-14.7,19.4,1.5,,,,,,,,1.2,86.2,2073,11.9,-29.3,14.3,1.4,18.9,81.1,2013,-3.3,-48.8,8.1,1.5,,,,,,,,20,88.1,2081,-1.6,-30.7,5.4,1.5,,,,,,,,,,,,,,,
